Asparagus,15
Tuna stake,109
Salmon,208
Broccoli,31
Tinned tuna,113
Emmental,370
egg,85
Edam,314
Fine beans,32
Smoked haddock,98
Cucumber,16
Courgette,22
Carrot,41
Tomato,16
Prawns,62
Onion,40
Orange pepper,35
Green pepper,19
Red pepper,23
Yellow pepper,25
Skinless cod,98
Celery,10
Radishes,14
Spring onion,27
Gherkin,7
Mushrooms,13
Leaves,18
Green Olives,170
Cauliflower,25
Pickled Garlic,42
Crumpet & 1 egg,260
Boiled pots,87
Cabbage,25
Sweet potato,88
Cheddar,416
Frozen peas,75
Garlic,149
Ginger,80
Oats,379
Pollock,92
Plaice fillet,85
Spring greens,40
Sweetcorn,80
Edemame,128
Mange tout,38
Skin on haddock,68
Skinless haddock,87
Saurkraut,29
Daikon,18
Tofu,76
Spinach,23
green beans,31
Savoy cabbage,27
kale,49
peas in pods,40
cod skin on,75
